DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2007-07-13 0:00,"39,650","39,700","38,550","39,100","7,064,650"
2007-07-16 0:00,"38,850","38,850","37,550","37,550","5,778,636"
2007-07-18 0:00,"38,100","38,450","37,450","37,700","4,634,352"
2007-07-19 0:00,"37,700","38,050","37,200","37,550","3,350,177"
2007-07-20 0:00,"38,000","39,200","37,750","39,200","6,008,139"
2007-07-23 0:00,"39,000","40,000","38,950","39,200","5,066,982"
2007-07-24 0:00,"39,700","39,850","38,850","39,000","4,053,341"
2007-07-25 0:00,"38,400","39,150","37,850","38,300","4,579,628"
2007-07-26 0:00,"38,500","39,000","37,350","37,400","4,975,523"
2007-07-27 0:00,"37,200","38,100","36,350","36,350","8,138,128"
2007-07-30 0:00,"36,450","37,150","36,100","36,950","4,119,960"
2007-07-31 0:00,"37,450","38,000","37,050","37,600","3,762,650"
2007-08-01 0:00,"36,900","37,100","34,650","35,300","7,216,105"
2007-08-02 0:00,"35,800","36,350","35,000","35,800","4,686,778"
2007-08-03 0:00,"36,350","37,550","35,900","37,100","4,779,523"
2007-08-06 0:00,"37,650","38,150","36,950","37,350","6,559,845"
2007-08-07 0:00,"38,150","38,150","36,800","37,100","2,590,020"
2007-08-08 0:00,"37,350","37,650","36,950","37,650","2,787,643"
2007-08-09 0:00,"38,250","39,100","38,200","38,700","6,014,002"
2007-08-10 0:00,"37,950","38,550","37,050","37,300","6,148,580"
2007-08-13 0:00,"37,950","39,000","37,500","39,000","5,732,127"
2007-08-14 0:00,"38,800","39,500","38,250","38,400","4,686,175"
2007-08-16 0:00,"36,800","37,100","35,850","36,550","7,972,490"
2007-08-17 0:00,"37,300","37,300","35,000","35,300","5,098,790"
2007-08-20 0:00,"36,600","36,900","36,250","36,750","4,153,220"
2007-08-21 0:00,"36,550","36,900","35,850","35,950","3,603,886"
2007-08-22 0:00,"35,850","37,200","35,650","36,750","4,169,620"
2007-08-23 0:00,"37,450","37,700","36,550","36,700","4,023,192"
2007-08-24 0:00,"36,400","36,450","35,150","35,550","7,036,301"
2007-08-27 0:00,"35,900","36,000","33,900","34,350","9,563,374"
2007-08-28 0:00,"33,750","33,850","32,500","33,200","10,770,631"
2007-08-29 0:00,"31,550","32,700","31,550","32,700","7,808,173"
2007-08-30 0:00,"33,550","34,200","33,500","33,550","7,173,559"
2007-08-31 0:00,"33,550","33,950","33,000","33,750","6,283,061"
2007-09-03 0:00,"33,900","33,900","32,750","33,000","5,607,944"
2007-09-04 0:00,"32,850","33,100","32,350","32,600","5,397,346"
2007-09-05 0:00,"33,150","33,800","32,800","32,800","6,786,303"
2007-09-06 0:00,"32,400","32,800","31,600","32,050","9,870,563"
2007-09-07 0:00,"31,950","31,950","30,700","31,000","9,907,081"
2007-09-10 0:00,"30,350","31,500","30,200","31,150","6,595,526"
2007-09-11 0:00,"31,400","32,000","31,150","31,600","5,258,972"
2007-09-12 0:00,"31,900","32,200","31,350","31,400","3,485,293"
2007-09-13 0:00,"31,150","31,450","30,050","30,500","7,401,219"
2007-09-14 0:00,"30,350","30,900","29,800","30,400","6,113,911"
2007-09-17 0:00,"30,450","30,950","30,350","30,550","2,882,498"
2007-09-18 0:00,"30,550","30,600","29,300","29,550","6,086,663"
2007-09-19 0:00,"30,500","30,800","30,050","30,150","5,373,391"
2007-09-20 0:00,"29,950","29,950","28,850","28,850","7,546,620"
2007-09-21 0:00,"28,950","29,200","28,650","29,200","4,900,130"
2007-09-27 0:00,"29,600","30,950","29,600","30,950","7,895,709"
2007-09-28 0:00,"31,550","31,900","31,150","31,300","7,468,733"
2007-10-01 0:00,"31,450","31,450","30,650","31,100","5,335,855"
2007-10-02 0:00,"31,700","31,700","30,500","31,000","6,479,229"
2007-10-04 0:00,"30,050","30,150","29,650","29,700","8,514,602"
2007-10-05 0:00,"29,600","29,700","29,000","29,400","5,673,386"
2007-10-08 0:00,"29,800","30,050","29,200","29,300","5,402,021"
2007-10-09 0:00,"28,800","29,400","28,700","29,000","5,305,075"
2007-10-10 0:00,"29,100","29,300","28,550","28,950","4,775,770"
2007-10-11 0:00,"28,950","29,000","28,350","28,650","5,057,857"
2007-10-12 0:00,"28,250","29,550","27,950","28,300","8,134,755"
2007-10-15 0:00,"28,700","28,900","28,000","28,000","4,293,122"
2007-10-16 0:00,"27,750","27,850","26,400","26,700","10,340,035"
2007-10-17 0:00,"26,700","27,400","26,500","26,800","6,559,482"
2007-10-18 0:00,"26,800","27,050","25,650","26,100","8,770,212"
2007-10-19 0:00,"26,400","26,700","26,000","26,000","5,299,247"
2007-10-22 0:00,"24,950","25,400","24,750","25,250","5,298,719"
2007-10-23 0:00,"25,500","25,800","24,850","25,150","4,899,273"
2007-10-24 0:00,"25,250","25,400","24,150","24,300","6,949,179"
2007-10-25 0:00,"24,050","24,400","23,000","23,000","9,004,225"
2007-10-26 0:00,"22,900","26,450","22,600","26,350","19,042,962"
2007-10-29 0:00,"26,050","26,250","25,050","25,350","8,870,871"
2007-10-30 0:00,"25,000","25,100","24,200","24,850","6,290,150"
2007-10-31 0:00,"25,250","26,250","25,000","25,000","8,838,583"
2007-11-01 0:00,"25,550","25,700","24,400","24,550","4,716,452"
2007-11-02 0:00,"23,850","24,250","23,850","24,100","3,383,856"
2007-11-05 0:00,"24,000","24,100","23,300","23,650","4,010,378"
2007-11-06 0:00,"23,500","25,300","23,350","24,150","5,339,468"
2007-11-07 0:00,"24,450","25,500","24,400","24,650","6,282,531"
2007-11-08 0:00,"24,250","24,400","23,400","23,400","5,652,792"
2007-11-09 0:00,"23,600","24,000","22,900","23,450","5,543,055"
2007-11-12 0:00,"23,100","23,150","22,650","23,050","2,903,394"
2007-11-13 0:00,"22,900","23,450","22,800","23,200","3,105,225"
2007-11-14 0:00,"23,700","24,000","23,100","23,200","3,680,017"
2007-11-15 0:00,"23,350","24,250","23,300","23,700","4,804,998"
2007-11-16 0:00,"23,750","24,850","23,700","23,750","5,976,549"
2007-11-19 0:00,"23,950","24,100","22,850","23,000","4,960,780"
2007-11-20 0:00,"22,600","23,000","22,100","23,000","3,052,344"
2007-11-21 0:00,"22,950","23,050","22,300","22,500","2,697,096"
2007-11-22 0:00,"22,100","23,400","22,100","22,700","3,842,767"
2007-11-23 0:00,"23,000","23,450","22,700","22,700","3,714,491"
2007-11-26 0:00,"23,100","23,400","22,850","22,950","2,447,060"
2007-11-27 0:00,"22,550","22,850","22,100","22,850","3,078,706"
2007-11-28 0:00,"23,100","23,400","22,800","22,800","3,036,224"
2007-11-29 0:00,"23,650","24,700","23,600","24,500","10,821,316"
2007-11-30 0:00,"24,800","25,900","24,650","25,900","8,695,045"
2007-12-03 0:00,"25,750","25,750","24,900","25,200","3,668,301"
2007-12-04 0:00,"25,500","25,950","25,350","25,450","2,905,890"
